season,episode_number,stars,episode_title,emotion
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Mad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Joyful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Scared
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Joyful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Joyful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Mad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Scared
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Mad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Mad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Mad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Powerful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Joyful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Joyful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Powerful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Peaceful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Powerful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Mad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Mad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Scared
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Powerful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Scared
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Mad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Scared
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Joyful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Peaceful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Scared
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Joyful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Peaceful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Sad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Joyful
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Mad
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
1,1,8.3,"The One Where Monica Gets a Roommate: The Pilot",Neutral
